runner,compiler,version,support
ubuntu-20.04,gcc,10,&check;
ubuntu-20.04,gcc,11,&check;
ubuntu-20.04,gcc,12,
ubuntu-20.04,gcc,13,&check;
ubuntu-20.04,gcc,6,
ubuntu-20.04,gcc,7,&check;
ubuntu-20.04,gcc,8,&check;
ubuntu-20.04,gcc,9,&check;
ubuntu-20.04,intel-classic,2021.1.2,&check;
ubuntu-20.04,intel-classic,2021.1,&check;
ubuntu-20.04,intel-classic,2021.10,&check;
ubuntu-20.04,intel-classic,2021.2,&check;
ubuntu-20.04,intel-classic,2021.3,
ubuntu-20.04,intel-classic,2021.4,&check;
ubuntu-20.04,intel-classic,2021.5,&check;
ubuntu-20.04,intel-classic,2021.6,&check;
ubuntu-20.04,intel-classic,2021.7.1,&check;
ubuntu-20.04,intel-classic,2021.7,&check;
ubuntu-20.04,intel-classic,2021.8,&check;
ubuntu-20.04,intel-classic,2021.9,&check;
ubuntu-20.04,intel,2021.1.2,&check;
ubuntu-20.04,intel,2021.1,&check;
ubuntu-20.04,intel,2021.2,&check;
ubuntu-20.04,intel,2021.4,&check;
ubuntu-20.04,intel,2022.0,&check;
ubuntu-20.04,intel,2022.1,&check;
ubuntu-20.04,intel,2022.2.1,&check;
ubuntu-20.04,intel,2022.2,&check;
ubuntu-20.04,intel,2023.0,&check;
ubuntu-20.04,intel,2023.1,&check;
ubuntu-20.04,intel,2023.2,&check;
ubuntu-20.04,nvidia-hpc,20.11,&check;
ubuntu-20.04,nvidia-hpc,20.7,
ubuntu-20.04,nvidia-hpc,20.9,
ubuntu-20.04,nvidia-hpc,21.1,
ubuntu-20.04,nvidia-hpc,21.11,&check;
ubuntu-20.04,nvidia-hpc,22.1,&check;
ubuntu-20.04,nvidia-hpc,22.11,&check;
ubuntu-20.04,nvidia-hpc,23.11,&check;
ubuntu-20.04,nvidia-hpc,23.3,&check;
ubuntu-20.04,nvidia-hpc,23.5,&check;
ubuntu-20.04,nvidia-hpc,23.7,&check;
ubuntu-20.04,nvidia-hpc,23.9,&check;
ubuntu-22.04,gcc,10,&check;
ubuntu-22.04,gcc,11,&check;
ubuntu-22.04,gcc,12,&check;
ubuntu-22.04,gcc,13,&check;
ubuntu-22.04,gcc,6,
ubuntu-22.04,gcc,7,
ubuntu-22.04,gcc,8,
ubuntu-22.04,gcc,9,&check;
ubuntu-22.04,intel-classic,2021.1.2,&check;
ubuntu-22.04,intel-classic,2021.1,&check;
ubuntu-22.04,intel-classic,2021.10,&check;
ubuntu-22.04,intel-classic,2021.2,&check;
ubuntu-22.04,intel-classic,2021.3,
ubuntu-22.04,intel-classic,2021.4,&check;
ubuntu-22.04,intel-classic,2021.5,&check;
ubuntu-22.04,intel-classic,2021.6,&check;
ubuntu-22.04,intel-classic,2021.7.1,&check;
ubuntu-22.04,intel-classic,2021.7,&check;
ubuntu-22.04,intel-classic,2021.8,&check;
ubuntu-22.04,intel-classic,2021.9,&check;
ubuntu-22.04,intel,2021.1.2,&check;
ubuntu-22.04,intel,2021.1,&check;
ubuntu-22.04,intel,2021.2,&check;
ubuntu-22.04,intel,2021.4,&check;
ubuntu-22.04,intel,2022.0,&check;
ubuntu-22.04,intel,2022.1,&check;
ubuntu-22.04,intel,2022.2.1,&check;
ubuntu-22.04,intel,2022.2,&check;
ubuntu-22.04,intel,2023.0,&check;
ubuntu-22.04,intel,2023.1,&check;
ubuntu-22.04,intel,2023.2,&check;
ubuntu-22.04,nvidia-hpc,20.11,&check;
ubuntu-22.04,nvidia-hpc,20.7,
ubuntu-22.04,nvidia-hpc,20.9,
ubuntu-22.04,nvidia-hpc,21.1,
ubuntu-22.04,nvidia-hpc,21.11,&check;
ubuntu-22.04,nvidia-hpc,22.1,&check;
ubuntu-22.04,nvidia-hpc,22.11,&check;
ubuntu-22.04,nvidia-hpc,23.11,&check;
ubuntu-22.04,nvidia-hpc,23.3,&check;
ubuntu-22.04,nvidia-hpc,23.5,&check;
ubuntu-22.04,nvidia-hpc,23.7,&check;
ubuntu-22.04,nvidia-hpc,23.9,&check;
macos-11,intel-classic,2021.1,&check;